,preds,labels
476,False,False
477,False,False
478,False,False
479,False,True
480,True,False
481,False,False
482,False,False
483,True,True
484,False,False
485,False,True
486,False,False
487,False,False
488,False,False
489,False,True
490,False,False
491,False,True
492,False,True
493,False,False
494,False,True
495,False,False
496,False,False
497,False,False
498,False,True
499,False,False
500,False,True
501,False,False
502,False,False
503,False,False
504,False,False
505,False,False
506,False,False
507,False,False
508,False,True
509,False,False
510,False,False
511,False,True
512,False,False
513,False,False
514,False,True
515,False,False
516,False,False
517,False,True
518,False,False
519,False,False
520,True,False
521,False,True
522,False,True
523,False,False
524,True,False
525,False,False
526,True,False
527,True,True
528,False,True
529,False,False
530,False,False
531,False,False
532,False,True
533,False,False
534,False,False
535,False,False
536,False,False
537,False,True
538,False,True
539,True,True
540,False,False
541,False,True
542,False,False
543,True,False
544,False,False
545,False,False
546,False,False
547,False,False
548,False,True
549,False,False
550,False,False
551,False,True
552,False,False
553,False,False
554,False,False
555,False,False
556,False,False
557,False,False
558,True,False
559,True,False
560,False,False
561,False,False
562,True,False
563,False,False
564,False,True
565,False,False
566,False,False
567,False,False
568,False,True
569,False,False
570,False,False
571,False,False
572,False,False
573,False,False
574,True,True
575,False,False
576,False,False
577,False,False
578,False,False
579,False,False
580,True,True
581,False,False
582,True,True
583,False,False
584,False,False
585,True,False
586,False,True
587,False,True
588,False,True
589,False,False
590,True,True
591,False,False
592,False,False
593,True,True
594,False,False
595,False,True
596,False,True
597,False,False
598,False,False
599,False,False
600,False,False
601,False,False
602,False,False
603,False,False
604,False,False
605,False,False
606,False,False
607,False,False
608,False,False
609,False,False
610,False,False
611,False,False
612,False,False
613,False,False
614,False,False
615,True,True
616,False,True
617,False,True
618,False,False
619,False,False
620,False,False
621,False,False
622,False,False
623,False,True
624,False,False
625,False,False
626,False,False
627,False,False
628,False,False
629,False,True
630,False,False
631,False,False
632,False,False
633,False,False
634,False,False
635,False,False
636,False,False
637,False,False
638,False,False
639,False,False
640,False,True
641,True,False
642,False,False
643,False,False
644,False,True
645,True,False
646,False,True
647,True,False
648,False,False
649,False,False
650,False,False
651,False,False
652,False,False
653,False,False
654,False,False
655,False,False
656,False,False
657,False,False
658,False,False
659,False,True
660,False,False
661,True,True
662,False,False
663,False,False
664,False,False
665,False,True
666,False,False
667,False,False
668,False,False
669,False,False
670,True,True
671,False,False
672,False,False
673,False,False
674,False,False
675,False,False
676,False,True
677,False,False
678,False,True
679,False,False
680,False,False
681,False,False
682,False,False
683,False,False
684,False,False
685,False,True
686,False,False
687,False,False
688,False,True
689,True,True
690,False,False
691,False,False
692,False,True
693,False,False
694,False,False
695,False,True
696,False,False
697,False,False
698,False,False
699,False,True
700,False,False
701,False,True
702,False,False
703,False,False
704,True,False
705,False,True
706,False,True
707,False,False
708,False,False
709,False,False
710,False,False
711,False,False
712,False,False
713,False,False
714,True,True
715,False,True
716,False,False
717,False,False
718,False,True
719,False,False
720,True,True
721,True,True
722,False,False
723,False,False
724,False,False
725,False,False
726,False,False
727,False,False
728,True,False
729,False,False
730,False,True
731,False,False
732,False,True
733,False,False
734,False,False
735,False,False
736,False,True
737,False,False
738,False,False
739,True,False
740,False,False
741,True,True
742,False,False
743,False,False
744,False,False
745,False,False
746,False,False
747,False,False
748,True,False
749,False,False
750,False,False
751,False,False
752,False,False
753,False,False
754,False,False
755,True,False
756,False,False
757,False,False
758,False,False
759,False,True
760,False,False
761,True,False
762,False,False
763,False,True
764,False,False
765,False,False
766,True,False
767,False,True
768,False,False
769,False,True
770,False,False
771,False,False
772,True,False
773,False,False
774,False,False
775,False,False
776,False,False
777,False,False
778,False,False
779,False,True
780,False,False
781,False,False
782,False,False
783,False,False
784,False,False
785,True,True
786,False,False
787,False,False
788,False,False
789,True,False
790,True,True
791,False,True
792,True,False
793,False,False
794,True,True
795,False,False
796,False,False
797,False,False
798,False,False
799,False,False
800,False,False
801,False,True
802,False,False
803,False,True
804,False,False
805,False,False
806,False,False
807,False,False
808,False,False
809,False,False
810,True,True
811,True,False
812,False,True
813,False,False
814,False,False
815,False,False
816,False,False
817,False,True
818,False,False
819,False,False
820,False,False
821,False,True
822,True,False
823,False,True
824,False,False
825,False,False
826,True,True
827,False,False
828,True,True
829,False,False
830,False,False
831,False,False
832,False,True
833,False,False
834,False,False
835,False,False
836,False,False
